No.,名称,经度(度),纬度(度),高程(米)
87,0,110.307793929,34.212467415,1055.578
88,0,110.475039094,34.212467415,935.546
89,0,110.642284259,34.212467415,964.093
90,0,110.809529425,34.212467415,972.066
91,0,110.976774590,34.212467415,831.850
92,0,111.144019755,34.212467415,867.916
93,0,111.311264920,34.212467415,1332.511
94,0,111.478510085,34.212467415,1344.151
95,0,111.645755251,34.212467415,1131.695
96,0,111.813000416,34.212467415,805.211
97,0,111.980245581,34.212467415,575.871
98,0,112.147490746,34.212467415,591.157
99,0,112.314735911,34.212467415,605.545
100,0,112.481981077,34.212467415,473.730
101,0,112.649226242,34.212467415,349.336
102,0,112.816471407,34.212467415,287.318
103,0,112.983716572,34.212467415,195.448
104,0,113.150961737,34.212467415,242.763
105,0,113.318206903,34.212467415,140.515
106,0,113.485452068,34.212467415,119.178
107,0,113.652697233,34.212467415,119.691
108,0,113.819942398,34.212467415,73.704
109,0,113.987187563,34.212467415,67.051
110,0,114.154432729,34.212467415,61.395
111,0,114.321677894,34.212467415,59.621
112,0,114.488923059,34.212467415,58.290
113,0,114.656168224,34.212467415,55.367
114,0,114.823413389,34.212467415,52.349
115,0,114.990658555,34.212467415,50.144
116,0,115.157903720,34.212467415,49.182
117,0,115.325148885,34.212467415,47.310
118,0,115.492394050,34.212467415,45.188
119,0,115.659639215,34.212467415,42.926
120,0,115.826884381,34.212467415,41.037
121,0,115.994129546,34.212467415,40.260
122,0,116.161374711,34.212467415,38.489
123,0,116.328619876,34.212467415,37.784
124,0,116.495865041,34.212467415,37.981
125,0,116.663110207,34.212467415,36.412
126,0,116.830355372,34.212467415,38.448
127,0,116.997600537,34.212467415,63.314
128,0,117.164845702,34.212467415,30.315
129,0,117.332090867,34.212467415,33.227
130,0,117.499336033,34.212467415,32.589
131,0,117.666581198,34.212467415,41.939
132,0,117.833826363,34.212467415,31.382
133,0,118.001071528,34.212467415,22.527
134,0,106.962890625,34.045222250,1573.376
135,0,107.130135790,34.045222250,1586.366
136,0,107.297380955,34.045222250,1871.380
137,0,107.464626121,34.045222250,2348.615
138,0,107.631871286,34.045222250,2297.615
139,0,107.799116451,34.045222250,2064.085
140,0,107.966361616,34.045222250,1976.500
141,0,108.133606781,34.045222250,1691.313
142,0,108.300851947,34.045222250,1759.490
143,0,108.468097112,34.045222250,1697.368
144,0,108.635342277,34.045222250,1569.455
145,0,108.802587442,34.045222250,1601.396
146,0,108.969832607,34.045222250,1655.000
147,0,109.137077773,34.045222250,1702.571
148,0,109.304322938,34.045222250,1507.541
149,0,109.471568103,34.045222250,1505.465
150,0,109.638813268,34.045222250,1462.448
151,0,109.806058433,34.045222250,1085.232
152,0,109.973303599,34.045222250,941.250
153,0,110.140548764,34.045222250,1031.211
154,0,110.307793929,34.045222250,1198.817
155,0,110.475039094,34.045222250,1276.760
156,0,110.642284259,34.045222250,1048.704
157,0,110.809529425,34.045222250,1047.659
158,0,110.976774590,34.045222250,886.910
159,0,111.144019755,34.045222250,1297.948
160,0,111.311264920,34.045222250,1524.055
161,0,111.478510085,34.045222250,1338.530
162,0,111.645755251,34.045222250,904.936
163,0,111.813000416,34.045222250,776.825
164,0,111.980245581,34.045222250,835.983
165,0,112.147490746,34.045222250,839.987
166,0,112.314735911,34.045222250,868.295
167,0,112.481981077,34.045222250,730.996
168,0,112.649226242,34.045222250,414.363
169,0,112.816471407,34.045222250,315.830
170,0,112.983716572,34.045222250,167.538
171,0,113.150961737,34.045222250,129.203
172,0,113.318206903,34.045222250,162.928
173,0,113.485452068,34.045222250,92.471
174,0,113.652697233,34.045222250,80.709
175,0,113.819942398,34.045222250,66.158
176,0,113.987187563,34.045222250,59.401
177,0,114.154432729,34.045222250,55.906
178,0,114.321677894,34.045222250,54.396
179,0,114.488923059,34.045222250,55.094
180,0,114.656168224,34.045222250,52.587
181,0,114.823413389,34.045222250,49.584
182,0,114.990658555,34.045222250,47.774
183,0,115.157903720,34.045222250,45.534
184,0,115.325148885,34.045222250,43.232
185,0,115.492394050,34.045222250,41.589
186,0,115.659639215,34.045222250,40.282
187,0,115.826884381,34.045222250,38.557
188,0,115.994129546,34.045222250,36.363
189,0,116.161374711,34.045222250,34.814
190,0,116.328619876,34.045222250,33.996
191,0,116.495865041,34.045222250,33.282
192,0,116.663110207,34.045222250,32.474
193,0,116.830355372,34.045222250,38.259
194,0,116.997600537,34.045222250,87.951
195,0,117.164845702,34.045222250,27.950
196,0,117.332090867,34.045222250,35.903
197,0,117.499336033,34.045222250,25.875
198,0,117.666581198,34.045222250,34.214
199,0,117.833826363,34.045222250,24.513
200,0,118.001071528,34.045222250,22.052
201,0,106.962890625,33.877977085,1324.885
202,0,107.130135790,33.877977085,1768.268
203,0,107.297380955,33.877977085,1703.340
204,0,107.464626121,33.877977085,1604.576
205,0,107.631871286,33.877977085,2038.678
206,0,107.799116451,33.877977085,1955.550
207,0,107.966361616,33.877977085,1635.143
208,0,108.133606781,33.877977085,1567.600
209,0,108.300851947,33.877977085,1905.247
210,0,108.468097112,33.877977085,1799.636
211,0,108.635342277,33.877977085,1445.766
212,0,108.802587442,33.877977085,1392.185
213,0,108.969832607,33.877977085,1395.347
214,0,109.137077773,33.877977085,1429.833
215,0,109.304322938,33.877977085,1523.239
216,0,109.471568103,33.877977085,1423.384
217,0,109.638813268,33.877977085,1450.964
218,0,109.806058433,33.877977085,1144.206
219,0,109.973303599,33.877977085,1185.185
220,0,110.140548764,33.877977085,1147.890
221,0,110.307793929,33.877977085,951.029
222,0,110.475039094,33.877977085,1025.921
223,0,110.642284259,33.877977085,1112.666
224,0,110.809529425,33.877977085,1260.396
225,0,110.976774590,33.877977085,1010.319
226,0,111.144019755,33.877977085,1144.913
227,0,111.311264920,33.877977085,1208.696
228,0,111.478510085,33.877977085,1083.430
229,0,111.645755251,33.877977085,926.786
230,0,111.813000416,33.877977085,911.769
231,0,111.980245581,33.877977085,886.126
232,0,112.147490746,33.877977085,987.047
233,0,112.314735911,33.877977085,1029.487
234,0,112.481981077,33.877977085,696.780
235,0,112.649226242,33.877977085,375.234
236,0,112.816471407,33.877977085,219.725
237,0,112.983716572,33.877977085,163.878
238,0,113.150961737,33.877977085,127.841
239,0,113.318206903,33.877977085,176.625
240,0,113.485452068,33.877977085,85.216
241,0,113.652697233,33.877977085,72.323
242,0,113.819942398,33.877977085,65.457
243,0,113.987187563,33.877977085,58.797
244,0,114.154432729,33.877977085,55.359
245,0,114.321677894,33.877977085,52.815
246,0,114.488923059,33.877977085,53.083
247,0,114.656168224,33.877977085,50.613
248,0,114.823413389,33.877977085,48.140
249,0,114.990658555,33.877977085,45.626
250,0,115.157903720,33.877977085,42.992
251,0,115.325148885,33.877977085,40.355
252,0,115.492394050,33.877977085,38.813
253,0,115.659639215,33.877977085,37.851
254,0,115.826884381,33.877977085,36.507
255,0,115.994129546,33.877977085,34.827
256,0,116.161374711,33.877977085,32.817
257,0,116.328619876,33.877977085,31.662
258,0,116.495865041,33.877977085,30.202
259,0,116.663110207,33.877977085,29.662
260,0,116.830355372,33.877977085,30.727
261,0,116.997600537,33.877977085,30.505
262,0,117.164845702,33.877977085,27.629
263,0,117.332090867,33.877977085,24.506
264,0,117.499336033,33.877977085,22.444
265,0,117.666581198,33.877977085,23.093
266,0,117.833826363,33.877977085,21.905
267,0,118.001071528,33.877977085,20.198
268,0,106.962890625,33.710731920,1343.498
269,0,107.130135790,33.710731920,1350.770
270,0,107.297380955,33.710731920,1559.392
271,0,107.464626121,33.710731920,1464.382
272,0,107.631871286,33.710731920,1483.749
273,0,107.799116451,33.710731920,1491.907
274,0,107.966361616,33.710731920,1355.282
275,0,108.133606781,33.710731920,1566.968
276,0,108.300851947,33.710731920,1665.570
277,0,108.468097112,33.710731920,1725.283
278,0,108.635342277,33.710731920,1419.636
279,0,108.802587442,33.710731920,1034.349
280,0,108.969832607,33.710731920,1123.390
281,0,109.137077773,33.710731920,1262.048
282,0,109.304322938,33.710731920,1213.903
283,0,109.471568103,33.710731920,966.947
284,0,109.638813268,33.710731920,1124.253
285,0,109.806058433,33.710731920,910.311
286,0,109.973303599,33.710731920,1057.642
287,0,110.140548764,33.710731920,1056.105
288,0,110.307793929,33.710731920,881.887
289,0,110.475039094,33.710731920,835.341
290,0,110.642284259,33.710731920,729.590
291,0,110.809529425,33.710731920,740.930
292,0,110.976774590,33.710731920,698.355
293,0,111.144019755,33.710731920,873.464
294,0,111.311264920,33.710731920,945.766
295,0,111.478510085,33.710731920,969.142
296,0,111.645755251,33.710731920,846.811
297,0,111.813000416,33.710731920,816.518
298,0,111.980245581,33.710731920,748.548
299,0,112.147490746,33.710731920,646.067
300,0,112.314735911,33.710731920,568.955
301,0,112.481981077,33.710731920,420.462
302,0,112.649226242,33.710731920,316.207
303,0,112.816471407,33.710731920,268.592
304,0,112.983716572,33.710731920,246.468
305,0,113.150961737,33.710731920,133.095
306,0,113.318206903,33.710731920,94.072
307,0,113.485452068,33.710731920,81.370
308,0,113.652697233,33.710731920,73.065
309,0,113.819942398,33.710731920,65.751
310,0,113.987187563,33.710731920,60.903
311,0,114.154432729,33.710731920,57.744
312,0,114.321677894,33.710731920,52.766
313,0,114.488923059,33.710731920,48.561
314,0,114.656168224,33.710731920,47.588
315,0,114.823413389,33.710731920,46.621
316,0,114.990658555,33.710731920,43.653
317,0,115.157903720,33.710731920,41.644
318,0,115.325148885,33.710731920,39.384
319,0,115.492394050,33.710731920,36.784
320,0,115.659639215,33.710731920,35.242
321,0,115.826884381,33.710731920,34.212
322,0,115.994129546,33.710731920,33.177
323,0,116.161374711,33.710731920,32.293
324,0,116.328619876,33.710731920,31.162
325,0,116.495865041,33.710731920,29.148
326,0,116.663110207,33.710731920,27.753
327,0,116.830355372,33.710731920,26.957
328,0,116.997600537,33.710731920,26.482
329,0,117.164845702,33.710731920,24.712
330,0,117.332090867,33.710731920,23.443
331,0,117.499336033,33.710731920,22.149
332,0,117.666581198,33.710731920,22.142
333,0,117.833826363,33.710731920,20.750
334,0,118.001071528,33.710731920,18.619
335,0,106.962890625,33.543486754,1148.363
336,0,107.130135790,33.543486754,1075.398
337,0,107.297380955,33.543486754,1089.444
338,0,107.464626121,33.543486754,980.918
339,0,107.631871286,33.543486754,970.995
340,0,107.799116451,33.543486754,825.642
341,0,107.966361616,33.543486754,872.206
342,0,108.133606781,33.543486754,1156.217
343,0,108.300851947,33.543486754,1399.611
344,0,108.468097112,33.543486754,1650.872
345,0,108.635342277,33.543486754,1629.772
346,0,108.802587442,33.543486754,1276.682
347,0,108.969832607,33.543486754,1099.244
348,0,109.137077773,33.543486754,1227.732
349,0,109.304322938,33.543486754,1210.142
350,0,109.471568103,33.543486754,929.371
