No.,名称,经度(度),纬度(度),高程(米)
64,0,120.463092869,40.594374744,110.200
65,0,121.763888067,40.594374744,39.074
66,0,122.414285666,40.594374744,124.837
67,0,123.064683265,40.594374744,164.529
68,0,123.715080864,40.594374744,122.225
69,0,101.601562500,39.943977145,1372.380
70,0,102.251960099,39.943977145,1481.739
71,0,102.902357698,39.943977145,1552.458
72,0,103.552755297,39.943977145,1396.392
73,0,104.203152896,39.943977145,1328.454
74,0,104.853550495,39.943977145,1301.229
75,0,105.503948094,39.943977145,1286.497
76,0,106.154345693,39.943977145,1251.552
77,0,106.804743291,39.943977145,1268.062
78,0,107.455140890,39.943977145,1390.206
79,0,108.105538489,39.943977145,1416.358
80,0,108.755936088,39.943977145,1405.800
81,0,109.406333687,39.943977145,1345.642
82,0,110.056731286,39.943977145,1322.138
83,0,110.707128885,39.943977145,1172.089
84,0,111.357526484,39.943977145,1212.693
85,0,112.007924083,39.943977145,1474.325
86,0,112.658321682,39.943977145,1232.896
87,0,113.308719281,39.943977145,1535.391
88,0,113.959116880,39.943977145,1503.262
89,0,114.609514479,39.943977145,1126.042
90,0,115.259912078,39.943977145,697.250
91,0,115.910309676,39.943977145,154.243
92,0,116.560707275,39.943977145,17.333
93,0,117.211104874,39.943977145,6.001
94,0,117.861502473,39.943977145,3.626
95,0,118.511900072,39.943977145,14.925
96,0,119.162297671,39.943977145,8.002
97,0,119.812695270,39.943977145,7.000
98,0,121.763888067,39.943977145,75.253
99,0,122.414285666,39.943977145,41.378
100,0,123.064683265,39.943977145,15.066
101,0,101.601562500,39.293579546,1958.291
102,0,102.251960099,39.293579546,1558.055
103,0,102.902357698,39.293579546,1428.780
104,0,103.552755297,39.293579546,1366.802
105,0,104.203152896,39.293579546,1343.047
106,0,104.853550495,39.293579546,1326.340
107,0,105.503948094,39.293579546,1740.071
108,0,106.154345693,39.293579546,1701.434
109,0,106.804743291,39.293579546,1214.960
110,0,107.455140890,39.293579546,1370.484
111,0,108.105538489,39.293579546,1395.599
112,0,108.755936088,39.293579546,1336.485
113,0,109.406333687,39.293579546,1270.892
114,0,110.056731286,39.293579546,1245.912
115,0,110.707128885,39.293579546,1019.205
116,0,111.357526484,39.293579546,1469.383
117,0,112.007924083,39.293579546,1594.878
118,0,112.658321682,39.293579546,1093.214
119,0,113.308719281,39.293579546,1310.359
120,0,113.959116880,39.293579546,981.901
121,0,114.609514479,39.293579546,338.414
122,0,115.259912078,39.293579546,131.412
123,0,115.910309676,39.293579546,15.490
124,0,116.560707275,39.293579546,8.258
125,0,117.211104874,39.293579546,4.857
126,0,117.861502473,39.293579546,0.582
127,0,118.511900072,39.293579546,0.400
128,0,119.162297671,39.293579546,0.400
129,0,121.763888067,39.293579546,40.800
130,0,122.414285666,39.293579546,17.949
131,0,123.064683265,39.293579546,0.200
132,0,101.601562500,38.643181947,3050.456
133,0,102.251960099,38.643181947,2019.219
134,0,102.902357698,38.643181947,1607.192
135,0,103.552755297,38.643181947,1504.641
136,0,104.203152896,38.643181947,1466.842
137,0,104.853550495,38.643181947,1400.899
138,0,105.503948094,38.643181947,1366.408
139,0,106.154345693,38.643181947,1343.388
140,0,106.804743291,38.643181947,1382.355
141,0,107.455140890,38.643181947,1469.697
142,0,108.105538489,38.643181947,1342.873
143,0,108.755936088,38.643181947,1224.770
144,0,109.406333687,38.643181947,1136.134
145,0,110.056731286,38.643181947,1065.721
146,0,110.707128885,38.643181947,1041.385
147,0,111.357526484,38.643181947,1527.753
148,0,112.007924083,38.643181947,1383.064
149,0,112.658321682,38.643181947,1292.442
150,0,113.308719281,38.643181947,1057.951
151,0,113.959116880,38.643181947,613.246
152,0,114.609514479,38.643181947,213.436
